Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-01-07,12th Fail,2023,https://boxd.it/5wAHnH,,,,2024-01-01
2024-01-07,Scarface,1983,https://boxd.it/5wAJPt,4,,,2024-01-04
2024-01-07,Air,2023,https://boxd.it/5wALf3,4,,,2024-01-06
2024-01-07,Sapta Sagaradaache Ello – Side A,2023,https://boxd.it/5wARE9,4,,,2024-01-07
2024-01-08,Tiger 3,2023,https://boxd.it/5wJbst,2.5,,,2024-01-07
2024-01-11,Bohemian Rhapsody,2018,https://boxd.it/5ytr6T,5,,,2024-01-10
2024-01-16,Sarileru Neekevvaru,2020,https://boxd.it/5BNzaL,,,,2024-01-16
2024-01-16,Raja the Great,2017,https://boxd.it/5BNzAJ,,,,2024-01-16
2024-01-20,Schindler's List,1993,https://boxd.it/5Dkma9,5,,,2024-01-19
2024-01-21,Predestination,2014,https://boxd.it/5DQWRx,3.5,,,2024-01-20
2024-01-23,Wake Up Sid,2009,https://boxd.it/5EV1d5,4,,,2024-01-22
2024-01-24,Grave of the Fireflies,1988,https://boxd.it/5FrYCd,3.5,,,2024-01-23
2024-01-30,Aquaman and the Lost Kingdom,2023,https://boxd.it/5IqWLn,3.5,,,2024-01-29
2024-02-03,The Pianist,2002,https://boxd.it/5Kzdql,4.5,,,2024-02-03
2024-02-04,Parking,2023,https://boxd.it/5KILRt,4,,,2024-02-04
2024-02-04,The Crush,2010,https://boxd.it/5L6EXd,3.5,,,2024-02-04
2024-02-04,One-Minute Time Machine,2014,https://boxd.it/5L6KQ3,3.5,,,2024-02-04
2024-02-12,A Serbian Film,2010,https://boxd.it/5OkUvz,1,,,2024-02-11
2024-02-17,Dunki,2023,https://boxd.it/5QvL5x,3.5,,,2024-02-16
2024-02-18,Salaar: Part 1 - Ceasefire,2023,https://boxd.it/5QUKgf,3.5,,,2024-02-17
2024-02-19,Jigarthanda DoubleX,2023,https://boxd.it/5RtqhH,3.5,,,2024-02-18
