Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-05-19,War films that feel like home (not in order),,https://boxd.it/H7KAw,

Position,Name,Year,URL,Description
1,Schindler's List,1993,https://boxd.it/2aq2,
2,Dunkirk,2017,https://boxd.it/d0Y6,
3,All Quiet on the Western Front,2022,https://boxd.it/H08,
4,Saving Private Ryan,1998,https://boxd.it/29ro,
5,Inglourious Basterds,2009,https://boxd.it/1JzG,
6,Guy Ritchie's The Covenant,2023,https://boxd.it/xjcK,
7,Come and See,1985,https://boxd.it/1w9q,
8,1917,2019,https://boxd.it/jj4y,
9,The Pianist,2002,https://boxd.it/2aqc,
10,Life Is Beautiful,1997,https://boxd.it/29Wm,
11,Jojo Rabbit,2019,https://boxd.it/iEBG,
12,Fury,2014,https://boxd.it/6JwC,
13,Apocalypse Now,1979,https://boxd.it/6ZS,
14,Shershaah,2021,https://boxd.it/m860,
15,LOC: Kargil,2003,https://boxd.it/2pK2,
16,Lakshya,2004,https://boxd.it/1Ckk,
17,Border,1997,https://boxd.it/1g3w,
18,The Ghazi Attack,2017,https://boxd.it/fJu0,
19,Uri: The Surgical Strike,2019,https://boxd.it/kgWk,
20,Kesari,2019,https://boxd.it/hZ76,
21,War Chod Na Yaar,2013,https://boxd.it/6Id0,
22,Grave of the Fireflies,1988,https://boxd.it/1RUM,
23,Barry Lyndon,1975,https://boxd.it/25A2,
24,300,2006,https://boxd.it/28XI,
25,Sisu,2022,https://boxd.it/vHpu,
26,The Imitation Game,2014,https://boxd.it/6aig,
