Date,Name,Year,Letterboxd URI,Rating
2024-01-20,Schindler's List,1993,https://boxd.it/2aq2,5
2024-01-20,Air,2023,https://boxd.it/Arlc,4
2024-01-20,Tiger 3,2023,https://boxd.it/qZTW,2.5
2024-01-21,Predestination,2014,https://boxd.it/6bJM,3.5
2024-01-23,Wake Up Sid,2009,https://boxd.it/1C8e,4
2024-01-24,Grave of the Fireflies,1988,https://boxd.it/1RUM,3.5
2024-01-30,Aquaman and the Lost Kingdom,2023,https://boxd.it/l1LS,3.5
2024-02-04,The Crush,2010,https://boxd.it/4Zeg,3.5
2024-02-04,Parking,2023,https://boxd.it/Iyga,4
2024-02-04,One-Minute Time Machine,2014,https://boxd.it/bFSO,3.5
2024-02-12,A Serbian Film,2010,https://boxd.it/2wBc,1
2024-02-17,Dunki,2023,https://boxd.it/Ahr0,3.5
2024-02-18,Salaar: Part 1 - Ceasefire,2023,https://boxd.it/sYOU,3.5
2024-02-24,Sam Bahadur,2023,https://boxd.it/uF22,3.5
2024-02-25,Maaveeran,2023,https://boxd.it/Bktq,3.5
2024-02-25,Saltburn,2023,https://boxd.it/z4eg,3
2024-02-25,Chithha,2023,https://boxd.it/GbIc,3.5
2024-02-28,Joram,2023,https://boxd.it/Efie,3.5
2024-02-29,Society of the Snow,2023,https://boxd.it/y9aw,4
2024-03-01,Doctor,2021,https://boxd.it/p5Ps,3
2024-03-03,Dune,2021,https://boxd.it/fA7G,4
2024-03-08,Meet Joe Black,1998,https://boxd.it/2aEI,3.5
2024-03-10,Merry Christmas,2024,https://boxd.it/xCn8,4
2024-03-11,Captain Miller,2024,https://boxd.it/AkPE,4
2024-03-12,Poor Things,2023,https://boxd.it/tNWU,3.5
2024-03-16,Men in Black,1997,https://boxd.it/2a0I,3
2024-03-17,Men in Black II,2002,https://boxd.it/2a0y,3
2024-03-20,Bramayugam,2024,https://boxd.it/Iekc,4
2024-03-22,The Irishman,2019,https://boxd.it/dYOq,4
2024-03-24,Fighter,2024,https://boxd.it/tvnM,4
2024-03-27,Dia,2020,https://boxd.it/p23g,3
2024-03-31,Delhi Belly,2011,https://boxd.it/2gEk,3.5
2024-04-01,Gran Turismo,2023,https://boxd.it/B2lS,4
2024-04-07,Rush,2013,https://boxd.it/3lyS,4
2024-04-10,The Imitation Game,2014,https://boxd.it/6aig,3.5
2024-04-11,Godzilla × Kong: The New Empire,2024,https://boxd.it/v1PK,3.5
2024-04-12,Kung Fu Panda 4,2024,https://boxd.it/CepE,3
2024-04-15,Paanch,2003,https://boxd.it/5fE,3.5
2024-04-17,Life in a Metro,2007,https://boxd.it/1DoW,3.5
2024-04-17,Premalu,2024,https://boxd.it/HuK4,3.5
2024-04-23,Sapta Sagaradaache Ello - Side B,2023,https://boxd.it/IhOE,4
2024-04-30,Lost Ladies,2023,https://boxd.it/I0mS,4
2024-05-03,(500) Days of Summer,2009,https://boxd.it/1EmM,3.5
2024-05-04,Madgaon Express,2024,https://boxd.it/JzcA,3.5
2024-05-05,Shaitaan,2024,https://boxd.it/J3kM,3.5
2024-05-18,Romancham,2023,https://boxd.it/ARRe,3.5
2024-05-22,Aavesham,2024,https://boxd.it/F2fe,4
2024-05-27,The Fall Guy,2024,https://boxd.it/s0Bm,3.5
2024-06-01,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4
2024-06-01,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk,4
2024-06-04,Godzilla Minus One,2023,https://boxd.it/zu4c,4
2024-06-10,Manjummel Boys,2024,https://boxd.it/EtUc,5
2024-06-12,Karwaan,2018,https://boxd.it/jp58,4.5
2024-06-13,BEEF,2023,https://boxd.it/FPsm,4
2024-06-16,Tere Naam,2003,https://boxd.it/nNk,3.5
2024-06-27,Your Name.,2016,https://boxd.it/cUqs,4
2024-07-01,Kalki 2898-AD,2024,https://boxd.it/uaUM,3.5
2024-07-10,Prisoners,2013,https://boxd.it/4E5i,5
2024-07-13,Maharaja,2024,https://boxd.it/GiAu,5
2024-07-13,12 Angry Men,1957,https://boxd.it/2auI,5
2024-07-17,EuroTrip,2004,https://boxd.it/1YTQ,3.5
2024-07-26,Not Another Teen Movie,2001,https://boxd.it/1TWq,2.5
2024-07-28,Deadpool & Wolverine,2024,https://boxd.it/jq8s,4
2024-07-29,Cinema Paradiso,1988,https://boxd.it/1UlA,5
2024-08-01,Ajji,2017,https://boxd.it/hksC,3.5
2024-08-04,The Departed,2006,https://boxd.it/28MA,4.5
2024-08-05,Pather Panchali,1955,https://boxd.it/22yC,5
2024-08-13,Mangalavaaram,2023,https://boxd.it/Floa,3
2024-08-13,Apur Sansar,1959,https://boxd.it/29l6,5
2024-08-14,Nanpakal Nerathu Mayakkam,2022,https://boxd.it/x5xO,4
2024-08-17,Despicable Me 4,2024,https://boxd.it/iOLG,3
2024-08-17,Aparajito,1956,https://boxd.it/29kW,5
2024-08-18,Toy Story,1995,https://boxd.it/29qA,4
2024-08-19,The Silence of the Lambs,1991,https://boxd.it/2aHW,4.5
2024-08-19,Stree 2,2024,https://boxd.it/G5Cs,4
2024-08-26,Munjya,2024,https://boxd.it/J1M0,3
2024-08-28,Raayan,2024,https://boxd.it/GYru,3.5
2024-09-01,Toy Story 2,1999,https://boxd.it/29qq,4
2024-09-01,Toy Story 3,2010,https://boxd.it/1WRe,5
2024-09-02,The Goat Life,2024,https://boxd.it/gVZQ,5
2024-09-07,Kaagaz Ke Phool,1959,https://boxd.it/vLG,5
2024-09-07,Pyaasa,1957,https://boxd.it/10iq,5
2024-09-09,Do Ankhen Barah Haath,1957,https://boxd.it/2o40,4
2024-09-09,Guide,1965,https://boxd.it/2Oa4,5
2024-09-12,Insomnia,2002,https://boxd.it/2aB0,3.5
2024-09-14,Requiem for a Dream,2000,https://boxd.it/29VI,3.5
2024-09-15,Demolition,2015,https://boxd.it/9GuY,4
2024-09-16,Tumbbad,2018,https://boxd.it/jDZk,4.5
2024-09-16,Blade Runner,1982,https://boxd.it/2bcA,3.5
2024-09-20,Kamthaan,2024,https://boxd.it/KUVo,3.5
2024-09-21,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4
2024-09-23,Kurangu Bommai,2017,https://boxd.it/geWa,3.5
2024-09-26,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,4
2024-09-29,Saripodhaa Sanivaaram,2024,https://boxd.it/Jkwq,3.5
2024-10-11,Manchester by the Sea,2016,https://boxd.it/b2L0,3.5
2024-10-13,Constantine,2005,https://boxd.it/2a7E,3
2024-10-14,Citizen Kane,1941,https://boxd.it/71O,4
2024-10-17,Two Acres of Land,1953,https://boxd.it/uuE,5
2024-10-20,Kinds of Kindness,2024,https://boxd.it/CWPw,3
2024-10-27,Vertigo,1958,https://boxd.it/2apI,4
2024-10-29,Toy Story 4,2019,https://boxd.it/9ALu,4
2024-10-31,Joker: Folie à Deux,2024,https://boxd.it/xBoE,2.5
2024-11-03,Zwigato,2022,https://boxd.it/Cl6u,4
2024-11-06,The Substance,2024,https://boxd.it/zanS,3.5
2024-11-09,Interstellar,2014,https://boxd.it/4VZ8,5
2024-11-11,Uncut Gems,2019,https://boxd.it/gXGc,4
2024-11-11,Antichrist,2009,https://boxd.it/1Inu,2.5
2024-11-11,Meiyazhagan,2024,https://boxd.it/GYue,5
2024-11-12,Venom: The Last Dance,2024,https://boxd.it/ynqo,4
2024-11-15,The Penguin,2024,https://boxd.it/QkIU,4
2024-11-25,Into the Wild,2007,https://boxd.it/22m2,4
2024-11-25,Bohemian Rhapsody,2018,https://boxd.it/f1TK,5
2024-11-25,No Country for Old Men,2007,https://boxd.it/21ew,4
2024-11-25,Dune: Part Two,2024,https://boxd.it/pUfA,5
2024-11-25,Dead Poets Society,1989,https://boxd.it/2aSg,5
2024-11-25,Memories of Murder,2003,https://boxd.it/1TSo,5
2024-11-25,Good Will Hunting,1997,https://boxd.it/2ahY,5
2024-11-25,Blade Runner 2049,2017,https://boxd.it/b8wK,5
2024-11-25,We Live in Time,2024,https://boxd.it/FC5u,3.5
2024-11-28,Yavarum Nalam,2009,https://boxd.it/1Ekm,4
2024-11-28,Anand,1971,https://boxd.it/1uhM,5
2024-11-28,A Fistful of Dollars,1964,https://boxd.it/2auo,4
2024-12-01,8 A.M. Metro,2023,https://boxd.it/GpSK,4
2024-12-01,Smile 2,2024,https://boxd.it/FDA4,3.5
2024-12-03,The Usual Suspects,1995,https://boxd.it/29XE,4
2024-12-05,There Will Be Blood,2007,https://boxd.it/20Z2,4.5
2024-12-08,Singham Again,2024,https://boxd.it/CllO,2.5
2024-12-09,Aradhana,1969,https://boxd.it/3lDy,4.5
2024-12-11,50 First Dates,2004,https://boxd.it/285c,3.5
2024-12-12,Babylon,2022,https://boxd.it/mM02,5
2024-12-13,Pushpa 2 - The Rule,2024,https://boxd.it/wooY,2.5
2024-12-14,"Dude, Where's My Car?",2000,https://boxd.it/1ZJi,2.5
2024-12-15,Awaara,1951,https://boxd.it/14BQ,4
2024-12-17,Shree 420,1955,https://boxd.it/HgU,5
2024-12-18,For a Few Dollars More,1965,https://boxd.it/29eu,4
2024-12-21,Bhavni Bhavai,1981,https://boxd.it/7BXC,4
2024-12-23,The Truman Show,1998,https://boxd.it/18U8,5
2024-12-24,Anora,2024,https://boxd.it/Egcw,3.5
2024-12-25,Gravity,2013,https://boxd.it/GZY,4
2024-12-26,Dev.D,2009,https://boxd.it/1L5I,4
2024-12-26,Nacho Libre,2006,https://boxd.it/1YTG,4
2024-12-26,Udaan,2010,https://boxd.it/PPe,5
2024-12-26,Masaan,2015,https://boxd.it/b6x2,5
2024-12-26,Raman Raghav 2.0,2016,https://boxd.it/dL2S,4
2024-12-26,No Smoking,2007,https://boxd.it/1b5W,4.5
