Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2024-12-17,Shree 420,1955,https://boxd.it/84hL1T,5,,"Watched it on 100th anniversary of Raj Kapoor in a housefull show. Blessed to see it on big screen.
<blockquote>आप अपने रुपए से अपना मनपसंद स्कूल खोल सकते हे, जहा बेईमानी के पैसों से ईमान खरीदना सिखाया जाए।</blockquote>",,2024-12-16
2025-01-10,Kishkindha Kaandam,2024,https://boxd.it/8ogK4Z,5,,I would also love to solve cases in that forest,,2025-01-09
2025-01-12,The Handmaiden,2016,https://boxd.it/8qNAFb,4.5,,I never thought scissors can be this beautiful...😍,,2025-01-12
2025-01-18,Thangalaan,2024,https://boxd.it/8vz8Qx,3.5,,I only believe in Vikram bhai,,2025-01-17
2025-01-19,The Skin I Live In,2011,https://boxd.it/8wBMh1,4,,French cinema isn't that weird though.,,2025-01-19
2025-01-19,Satya,1998,https://boxd.it/8x8nHz,5,,"Watching this movie in theater was a great decision.
Anurag kashyap and saurabh sukla hats off...what a dialogues.
And
          ""Mumbai ka King kaun..??""
                           ""-<b>Bhikhu Matre</b>""",,2025-01-19
2025-01-23,Sookshmadarshini,2024,https://boxd.it/8zNyJh,4.5,,"**Spoiler ahead**
All the build up is worth after all.
All the suspense uncover in last 15 minutes.
But it goes way to fast while uncovering.
Like u need to understand that lesbian relationship and that child adoption part.
But yeah extra half star for reveling title after 43 minutes.",,2025-01-23
2025-01-25,The Girl with the Dragon Tattoo,2011,https://boxd.it/8Bbkn9,4.5,,"""I like working with you""
""I like working with you, too""",,2025-01-25
2025-01-29,Lakshya,2004,https://boxd.it/8ErmJl,4,,Farhan akhtar directorial is my favourite genre.,,2025-01-28
2025-01-30,Coco,2017,https://boxd.it/8F7H5F,5,,"When movie brings tear in eyes at he end, I give 5 star and like....
(PS: For every Pixar movie)",,2025-01-29
2025-02-02,Gujjubhai The Great,2015,https://boxd.it/8H6UD7,5,,Absolute CINEMA...🔥🔥,,2025-02-01
2025-02-03,Seven Samurai,1954,https://boxd.it/8HPgJJ,4.5,,"It took me 3 days to complete first half and 1h 34m for second half.
A first Akira Kurosawa that I saw, it it's like ""hell yeah..!!""
Toshiro mifune..🎀🎀
<blockquote>This victory belongs to this peasants. Not to us.</blockquote>",,2025-02-02
2025-02-05,Climax,2018,https://boxd.it/8Ju6Vr,3.5,,"Now I m sure Gaspar noe can never make simple movie.

Whatever u say, but gaspar noe has mastered in one take shot.
First when they start dancing at the beginning and second after into credits.
Hidden cuts are really good.
And camera placement..🤌🤌
By the way it has a zero story. 
And what the fuck was that last 15 min, who's ideas was to keep frames upside-down. My neck was hurting.
Lightings..🔥🔥
Whatever I enjoyed it...",,2025-02-05
2025-02-08,Interstellar,2014,https://boxd.it/8Lau03,5,Yes,"Watched it like 5-6 years back on TV and today watched it on IMAX on 10th anniversary. This feeling is like can't tell in words. Cornfield chase, S.T.A.Y, docking I can still hear them in my ear.

A visually stunning and emotionally charged space odyssey. Nolan weaves mind-bending science with a deeply human story of love, sacrifice, and survival. McConaughey delivers a powerhouse performance, while Zimmer’s haunting score elevates every moment.

A masterpiece that explores both the vastness of space and the depth of human emotion.","theater, pvr, imax",2025-02-07
2025-02-08,The Autopsy of Jane Doe,2016,https://boxd.it/8LFJbR,3,,"25 min left for movie, then I realised I misunderstood this movie to some other. 
I got mogged by a corpse...🥲🥲",,2025-02-08
2025-02-09,City Lights,1931,https://boxd.it/8LOXrx,5,,"A perfect family watching. I can't remember when last time I had this kind of family movie watching.
Romance, comedy, tragedy.
Charlie Chaplin is genius. Everything under one roof and ending was so good.",,2025-02-08
2025-02-10,Moana 2,2024,https://boxd.it/8MHo2H,3,,First part was better ngl...👍🏻👍🏻,,2025-02-09
2025-02-10,Nadiya Ke Paar,1982,https://boxd.it/8MHpDz,4,,So 'hum aapke he kaun' was a remake..???,,2025-02-09
2025-02-16,The Polar Express,2004,https://boxd.it/8QmvU1,3.5,,"It's a perfect Christmas movie, but I watched on 15 February. 👍🏻👍🏻",,2025-02-15
2025-02-16,Apocalypse Now,1979,https://boxd.it/8QYqjF,4,,"I want more helicopters and more boats.
I couldn't recognise Marlon Brando at first sight or on second sight.
Cinematography and editing were too good.
Fransis Ford Coppola...🤌🤌",,2025-02-16
2025-02-17,Kati Patang,1971,https://boxd.it/8RdypB,4,,"Aanand Bakhshi, Kishore Kumar and R.D. Burman, u all are the great.
Rajesh Khanna is charming as always.🎀<blockquote>ना कोई तरंग है, ना कोई उमंग है...        मेरी जिंदगी भी क्या एक कटी पतंग है।</blockquote>",,2025-02-17
2025-02-18,Chhaava,2025,https://boxd.it/8RWFft,3.5,,"Literally even for a second I didn't see Vicky kaushal in this movie. What a performance by him and all the actors. Vinit kumar u stand out in this. 

Jeetu from Videocon, outstanding work.
Specially that opening action sequence was really good.",,2025-02-17
2025-02-20,Dil Se..,1998,https://boxd.it/8Tbw1L,3,,"I watched it only and only for Songs....
Listen songs on YouTube.
(Mere saath anyay hua he.)",,2025-02-19
2025-02-23,Padosan,1968,https://boxd.it/8V48mJ,3.5,,A bunch of guys helping friend to get his shawty...🎀🎀,,2025-02-23
2025-02-24,Mufasa: The Lion King,2024,https://boxd.it/8VNe2F,3.5,,Hakuna Mufasa....,,2025-02-23
2025-02-27,Heat,1995,https://boxd.it/8Xzjjr,4,,Rober De Niro and Al Pacino should marry.,,2025-02-26
2025-02-27,Jaws,1975,https://boxd.it/8XELJn,4,,Great fucking dolly zoom.....,,2025-02-26
2025-02-28,WALL·E,2008,https://boxd.it/8Yen35,4.5,,This is not the first time when robot made me cry.,,2025-02-28
2025-03-02,La Belle Noiseuse,1991,https://boxd.it/8ZjIfv,3.5,,It took me 8 fucking business days to complete this.,,2025-03-01
2025-03-02,Amar Prem,1972,https://boxd.it/8ZW5tB,4,,This is more sharmila tagore movie than Rajesh Khanna movie.,,2025-03-02
2025-03-05,Gulaal,2009,https://boxd.it/91qUQv,3.5,,"""जैसे दूर देस के tower में घुस जाए रे Airoplane...""",,2025-03-04
