Date,Name,Year,Letterboxd URI
2024-01-07,12th Fail,2023,https://boxd.it/I1sM
2024-01-07,Scarface,1983,https://boxd.it/2b7g
2024-01-07,Air,2023,https://boxd.it/Arlc
2024-01-07,Sapta Sagaradaache Ello – Side A,2023,https://boxd.it/IhOY
2024-01-08,Tiger 3,2023,https://boxd.it/qZTW
2024-01-11,Bohemian Rhapsody,2018,https://boxd.it/f1TK
2024-01-16,Sarileru Neekevvaru,2020,https://boxd.it/mq7K
2024-01-16,Raja the Great,2017,https://boxd.it/girA
2024-01-20,Schindler's List,1993,https://boxd.it/2aq2
2024-01-21,Predestination,2014,https://boxd.it/6bJM
2024-01-23,Wake Up Sid,2009,https://boxd.it/1C8e
2024-01-24,Grave of the Fireflies,1988,https://boxd.it/1RUM
2024-01-30,Aquaman and the Lost Kingdom,2023,https://boxd.it/l1LS
2024-02-03,The Pianist,2002,https://boxd.it/2aqc
2024-02-04,Parking,2023,https://boxd.it/Iyga
2024-02-04,The Crush,2010,https://boxd.it/4Zeg
2024-02-04,One-Minute Time Machine,2014,https://boxd.it/bFSO
2024-02-12,A Serbian Film,2010,https://boxd.it/2wBc
2024-02-17,Dunki,2023,https://boxd.it/Ahr0
2024-02-18,Salaar: Part 1 - Ceasefire,2023,https://boxd.it/sYOU
2024-02-19,Jigarthanda DoubleX,2023,https://boxd.it/C4xI
2024-02-24,Sam Bahadur,2023,https://boxd.it/uF22
2024-02-25,Maaveeran,2023,https://boxd.it/Bktq
2024-02-25,Saltburn,2023,https://boxd.it/z4eg
2024-02-25,Chithha,2023,https://boxd.it/GbIc
2024-02-28,Joram,2023,https://boxd.it/Efie
2024-02-29,Society of the Snow,2023,https://boxd.it/y9aw
2024-03-01,Doctor,2021,https://boxd.it/p5Ps
2024-03-02,No Country for Old Men,2007,https://boxd.it/21ew
2024-03-03,Dune,2021,https://boxd.it/fA7G
2024-03-04,Dune: Part Two,2024,https://boxd.it/pUfA
2024-03-08,Meet Joe Black,1998,https://boxd.it/2aEI
2024-03-10,Merry Christmas,2024,https://boxd.it/xCn8
2024-03-11,Captain Miller,2024,https://boxd.it/AkPE
