Date,Name,Year,Letterboxd URI
2024-12-19,Harakiri,1962,https://boxd.it/1NTU
2024-12-19,Metropolis,1927,https://boxd.it/71a
2024-12-19,M,1931,https://boxd.it/29vq
2024-12-19,Passengers,2016,https://boxd.it/8lFu
2024-12-19,King Richard,2021,https://boxd.it/mJZ2
2024-12-19,Daag,1973,https://boxd.it/5gIW
2024-12-19,How to Train Your Dragon,2010,https://boxd.it/1WRy
2024-12-19,Hacksaw Ridge,2016,https://boxd.it/azew
2024-12-19,Yi Yi,2000,https://boxd.it/1vCw
2024-12-19,Before Sunrise,1995,https://boxd.it/2bcU
2024-12-19,Before Sunset,2004,https://boxd.it/2bcg
2024-12-19,Before Midnight,2013,https://boxd.it/4ive
2024-12-19,The Thing,1982,https://boxd.it/294O
2024-12-19,Bicycle Thieves,1948,https://boxd.it/23hW
2024-12-19,8½,1963,https://boxd.it/2aqm
2024-12-19,Vanilla Sky,2001,https://boxd.it/27TK
2024-12-19,Rocky II,1979,https://boxd.it/28Ua
2024-12-19,Rocky III,1982,https://boxd.it/28Tw
2024-12-19,Rocky IV,1985,https://boxd.it/28T2
2024-12-19,Rocky V,1990,https://boxd.it/28SS
2024-12-19,Rocky Balboa,2006,https://boxd.it/291q
2024-12-19,Anari,1959,https://boxd.it/dOOU
2024-12-19,Scent of a Woman,1992,https://boxd.it/1YAu
2024-12-19,Melancholia,2011,https://boxd.it/bPI
2024-12-19,The Tree of Life,2011,https://boxd.it/1Zu8
2024-12-19,"Paris, Texas",1984,https://boxd.it/29Ts
2024-12-20,The Fabelmans,2022,https://boxd.it/ugoM
2024-12-21,Escape Plan,2013,https://boxd.it/3DX2
2024-12-21,Raging Bull,1980,https://boxd.it/28yI
2024-12-22,The Father,2020,https://boxd.it/m8Ie
2024-12-22,The Whale,2022,https://boxd.it/tw4c
2024-12-22,Vaazhai,2024,https://boxd.it/DNee
2024-12-22,Watchmen,2009,https://boxd.it/1QE4
2024-12-22,First Man,2018,https://boxd.it/cPym
2024-12-22,Ad Astra,2019,https://boxd.it/ePzI
2024-12-23,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA
2024-12-23,The Aviator,2004,https://boxd.it/26BU
2024-12-23,L.A. Confidential,1997,https://boxd.it/27oC
2024-12-23,Lolita,1962,https://boxd.it/29Ag
2024-12-23,Casablanca,1942,https://boxd.it/2aG0
2024-12-23,Magnolia,1999,https://boxd.it/2aze
2024-12-23,The Boy in the Striped Pyjamas,2008,https://boxd.it/1NOK
2024-12-29,How to Make Millions Before Grandma Dies,2024,https://boxd.it/FLa4
2024-12-30,Anbe Sivam,2003,https://boxd.it/1sU8
2024-12-31,...And Justice for All,1979,https://boxd.it/1IFI
2024-12-31,It's a Wonderful Life,1946,https://boxd.it/28xA
2025-01-01,Hridayam,2022,https://boxd.it/ohO0
2025-01-01,Rosemary's Baby,1968,https://boxd.it/29zM
2025-01-01,Troy,2004,https://boxd.it/29TW
2025-01-01,The Last Temptation of Christ,1988,https://boxd.it/1ULe
2025-01-01,Gangs of New York,2002,https://boxd.it/25FG
2025-01-01,Mean Streets,1973,https://boxd.it/2aSU
2025-01-03,A Separation,2011,https://boxd.it/gvo
2025-01-03,The Boy and the Heron,2023,https://boxd.it/ipeM
2025-01-04,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS
2025-01-04,Us,2019,https://boxd.it/gnV6
2025-01-05,Being Cyrus,2005,https://boxd.it/1oEg
2025-01-08,Call Me by Your Name,2017,https://boxd.it/dYmm
2025-01-08,Past Lives,2023,https://boxd.it/oNB8
2025-01-10,Ivan's Childhood,1962,https://boxd.it/1j6y
2025-01-12,Blackmail,2018,https://boxd.it/ixLE
2025-01-12,The Blues Brothers,1980,https://boxd.it/2adi
2025-01-12,A Million Ways to Die in the West,2014,https://boxd.it/5H9k
2025-01-12,Fida,2004,https://boxd.it/59xC
2025-01-21,Eraserhead,1977,https://boxd.it/299u
2025-01-23,12 Years a Slave,2013,https://boxd.it/2D2e
2025-01-23,A Beautiful Mind,2001,https://boxd.it/2amk
2025-01-23,Ran,1985,https://boxd.it/1Tlu
2025-01-25,mother!,2017,https://boxd.it/dgRU
2025-01-25,Sympathy for Mr. Vengeance,2002,https://boxd.it/23WU
2025-01-25,Lady Vengeance,2005,https://boxd.it/248G
2025-01-31,Dancer in the Dark,2000,https://boxd.it/71E
2025-02-04,The Theory of Everything,2014,https://boxd.it/7YtA
2025-02-10,Stalker,1979,https://boxd.it/28PO
2025-02-16,Full Metal Jacket,1987,https://boxd.it/2a1Q
2025-02-20,The Witch,2015,https://boxd.it/9X0m
2025-02-20,The Northman,2022,https://boxd.it/nK2s
2025-02-20,Nosferatu,2024,https://boxd.it/f5eG
2025-02-20,The House That Jack Built,2018,https://boxd.it/dWO4
2025-03-07,Primer,2004,https://boxd.it/6YA
2025-03-07,Coherence,2013,https://boxd.it/6xza
2025-03-07,Annihilation,2018,https://boxd.it/9yzm
2025-03-16,Three of Us,2022,https://boxd.it/DQmq
2025-03-16,Nope,2022,https://boxd.it/sDCe
2025-03-16,Gargi,2022,https://boxd.it/ALXU
2025-03-16,Sarpatta Parambarai,2021,https://boxd.it/tX36
2025-03-16,Paprika,2006,https://boxd.it/23wW
2025-03-16,Spirited Away,2001,https://boxd.it/2b4m
2025-03-20,Mother,2009,https://boxd.it/1m9g
2025-03-20,Aftersun,2022,https://boxd.it/Arw0
2025-03-28,La Grande Bouffe,1973,https://boxd.it/1X5q
2025-04-03,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw
2025-04-03,Lost Highway,1997,https://boxd.it/29Wc
2025-04-10,The Outlaws,2017,https://boxd.it/hewo
2025-04-24,Chinatown,1974,https://boxd.it/29vU
2025-04-24,The Hateful Eight,2015,https://boxd.it/8gw8
2025-04-24,Fargo,1996,https://boxd.it/2aHM
2025-04-24,The Big Lebowski,1998,https://boxd.it/2b6C
2025-04-24,Jackie Brown,1997,https://boxd.it/2aVO
2025-04-28,Ben-Hur,1959,https://boxd.it/29RQ
2025-04-28,Dogville,2003,https://boxd.it/2a8W
2025-04-28,The Elephant Man,1980,https://boxd.it/27LQ
2025-04-29,A Taxi Driver,2017,https://boxd.it/fwac
2025-04-29,The 40 Year Old Virgin,2005,https://boxd.it/21hK
2025-04-29,Road Trip,2000,https://boxd.it/1Z4a
2025-04-29,Airplane!,1980,https://boxd.it/29yu
2025-05-01,Lion,2016,https://boxd.it/b2La
2025-05-06,The Seventh Seal,1957,https://boxd.it/2ahO
2025-05-06,Persona,1966,https://boxd.it/29B4
2025-05-06,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2025-05-09,Vortex,2021,https://boxd.it/uoni
2025-05-13,Band of Brothers,2001,https://boxd.it/aRNY
2025-05-14,Rear Window,1954,https://boxd.it/2a6Q
2025-05-14,American History X,1998,https://boxd.it/2bdo
2025-05-14,Step Brothers,2008,https://boxd.it/1SsE
2025-05-14,Ted,2012,https://boxd.it/2pgc
2025-05-19,Once Upon a Time in the West,1968,https://boxd.it/2az4
2025-05-19,Modern Times,1936,https://boxd.it/25MC
2025-05-19,Alien,1979,https://boxd.it/2awY
